CustomerID,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,OrderDate,StockDate,OrderNumber,Product_ID,Customer_ID,Territory_ID,Region,Country,Continent,OrderQuantity_2015,OrderDate,StockDate,OrderNumber,Product_ID,Customer_ID,Territory_ID,OrderLineItem,OrderQuantity_2016,OrderDate,StockDate,OrderNumber,Product_ID,Customer_ID,OrderQuantity_2017,SubCatergory_id,Subcategory,categoryID,Category_Name,ProductName,ModelName,ProductDescription,ProductColor,ProductSize,ProductStyle,ProductCost,ProductPrice
121090,MR.,Connor,Zimmerman,7/26/1959,S,M,Connor20@gmail.com,91574,2,Partial College,Professional,Y,02-07-2015,01-08-2002,SO45389,310,121090,4,Southwest,United States,North America,1,7/31/2016,06-03-2003,SO51679,462,121090,4,3,2,5/24/2017,1/28/2004,SO71269,223,121090,3,19,Nose Rings & Studs,3,Jewellery,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya,Radhesh Creation,"Key Features of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Collection: Designer Ideal For: Women Style: Circular Barbell,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Rajasthani AD Stone Nath Decorated with Meena & Pearl Chain,Specifications of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Pearl Features Pearl Type NA Silver Features Silver Weight NA g General Brand Radhesh Creation Precious/Artificial Jewellery Fashion Jewellery Model Number 349440 Type Nathiya Style Circular Barbell Ideal For Women Color Orange Diamond Features Diamond Weight NA carat Diamond Shape NA Diamond Color Grade NA Dimensions Weight 7 g Height 0.5 mm Width 40 mm Body & Design Features Base Material Brass Gemstone Crystal Plating Yellow Gold Piercing Required No In the Box Sales Package 1 Nose Ring Pack of 1",Orange,U,E,4.84223301,9.684466019
121090,MR.,Connor,Zimmerman,7/26/1959,S,M,Connor20@gmail.com,91574,2,Partial College,Professional,Y,02-07-2015,01-08-2002,SO45389,310,121090,4,Southwest,United States,North America,1,7/31/2016,5/14/2003,SO51679,360,121090,4,1,1,5/24/2017,1/28/2004,SO71269,223,121090,3,19,Nose Rings & Studs,3,Jewellery,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya,Radhesh Creation,"Key Features of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Collection: Designer Ideal For: Women Style: Circular Barbell,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Rajasthani AD Stone Nath Decorated with Meena & Pearl Chain,Specifications of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Pearl Features Pearl Type NA Silver Features Silver Weight NA g General Brand Radhesh Creation Precious/Artificial Jewellery Fashion Jewellery Model Number 349440 Type Nathiya Style Circular Barbell Ideal For Women Color Orange Diamond Features Diamond Weight NA carat Diamond Shape NA Diamond Color Grade NA Dimensions Weight 7 g Height 0.5 mm Width 40 mm Body & Design Features Base Material Brass Gemstone Crystal Plating Yellow Gold Piercing Required No In the Box Sales Package 1 Nose Ring Pack of 1",Orange,U,E,4.84223301,9.684466019
121090,MR.,Connor,Zimmerman,7/26/1959,S,M,Connor20@gmail.com,91574,2,Partial College,Professional,Y,02-07-2015,01-08-2002,SO45389,310,121090,4,Southwest,United States,North America,1,7/31/2016,07-05-2003,SO51679,487,121090,4,2,1,5/24/2017,1/28/2004,SO71269,223,121090,3,19,Nose Rings & Studs,3,Jewellery,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya,Radhesh Creation,"Key Features of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Collection: Designer Ideal For: Women Style: Circular Barbell,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Rajasthani AD Stone Nath Decorated with Meena & Pearl Chain,Specifications of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Pearl Features Pearl Type NA Silver Features Silver Weight NA g General Brand Radhesh Creation Precious/Artificial Jewellery Fashion Jewellery Model Number 349440 Type Nathiya Style Circular Barbell Ideal For Women Color Orange Diamond Features Diamond Weight NA carat Diamond Shape NA Diamond Color Grade NA Dimensions Weight 7 g Height 0.5 mm Width 40 mm Body & Design Features Base Material Brass Gemstone Crystal Plating Yellow Gold Piercing Required No In the Box Sales Package 1 Nose Ring Pack of 1",Orange,U,E,4.84223301,9.684466019
121191,MRS.,Genesis,Rodriguez,7/19/1947,S,F,Genesis751@hotmail.com,71864,5,Bachelors,Management,Y,02-11-2015,10/22/2001,SO45413,312,121191,4,Southwest,United States,North America,1,7/14/2016,4/18/2003,SO51399,528,121191,4,3,2,05-09-2017,03-06-2004,SO70229,223,121191,2,19,Nose Rings & Studs,3,Jewellery,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya,Radhesh Creation,"Key Features of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Collection: Designer Ideal For: Women Style: Circular Barbell,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Rajasthani AD Stone Nath Decorated with Meena & Pearl Chain,Specifications of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Pearl Features Pearl Type NA Silver Features Silver Weight NA g General Brand Radhesh Creation Precious/Artificial Jewellery Fashion Jewellery Model Number 349440 Type Nathiya Style Circular Barbell Ideal For Women Color Orange Diamond Features Diamond Weight NA carat Diamond Shape NA Diamond Color Grade NA Dimensions Weight 7 g Height 0.5 mm Width 40 mm Body & Design Features Base Material Brass Gemstone Crystal Plating Yellow Gold Piercing Required No In the Box Sales Package 1 Nose Ring Pack of 1",Orange,U,E,4.84223301,9.684466019
121191,MRS.,Genesis,Rodriguez,7/19/1947,S,F,Genesis751@hotmail.com,71864,5,Bachelors,Management,Y,02-11-2015,10/22/2001,SO45413,312,121191,4,Southwest,United States,North America,1,7/14/2016,05-01-2003,SO51399,352,121191,4,1,1,05-09-2017,03-06-2004,SO70229,223,121191,2,19,Nose Rings & Studs,3,Jewellery,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya,Radhesh Creation,"Key Features of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Collection: Designer Ideal For: Women Style: Circular Barbell,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Rajasthani AD Stone Nath Decorated with Meena & Pearl Chain,Specifications of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Pearl Features Pearl Type NA Silver Features Silver Weight NA g General Brand Radhesh Creation Precious/Artificial Jewellery Fashion Jewellery Model Number 349440 Type Nathiya Style Circular Barbell Ideal For Women Color Orange Diamond Features Diamond Weight NA carat Diamond Shape NA Diamond Color Grade NA Dimensions Weight 7 g Height 0.5 mm Width 40 mm Body & Design Features Base Material Brass Gemstone Crystal Plating Yellow Gold Piercing Required No In the Box Sales Package 1 Nose Ring Pack of 1",Orange,U,E,4.84223301,9.684466019
121191,MRS.,Genesis,Rodriguez,7/19/1947,S,F,Genesis751@hotmail.com,71864,5,Bachelors,Management,Y,02-11-2015,10/22/2001,SO45413,312,121191,4,Southwest,United States,North America,1,7/14/2016,06-01-2003,SO51399,537,121191,4,2,1,05-09-2017,03-06-2004,SO70229,223,121191,2,19,Nose Rings & Studs,3,Jewellery,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya,Radhesh Creation,"Key Features of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Collection: Designer Ideal For: Women Style: Circular Barbell,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Rajasthani AD Stone Nath Decorated with Meena & Pearl Chain,Specifications of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Pearl Features Pearl Type NA Silver Features Silver Weight NA g General Brand Radhesh Creation Precious/Artificial Jewellery Fashion Jewellery Model Number 349440 Type Nathiya Style Circular Barbell Ideal For Women Color Orange Diamond Features Diamond Weight NA carat Diamond Shape NA Diamond Color Grade NA Dimensions Weight 7 g Height 0.5 mm Width 40 mm Body & Design Features Base Material Brass Gemstone Crystal Plating Yellow Gold Piercing Required No In the Box Sales Package 1 Nose Ring Pack of 1",Orange,U,E,4.84223301,9.684466019
121252,MR.,Lucas,Gray,10/20/1933,S,M,Lucas280@yahoo.com,91098,3,Graduate Degree,Management,Y,2/14/2015,1/16/2002,SO45434,311,121252,4,Southwest,United States,North America,1,7/30/2016,07-11-2003,SO51665,485,121252,4,2,2,6/20/2017,3/27/2004,SO73397,223,121252,2,19,Nose Rings & Studs,3,Jewellery,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya,Radhesh Creation,"Key Features of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Collection: Designer Ideal For: Women Style: Circular Barbell,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Rajasthani AD Stone Nath Decorated with Meena & Pearl Chain,Specifications of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Pearl Features Pearl Type NA Silver Features Silver Weight NA g General Brand Radhesh Creation Precious/Artificial Jewellery Fashion Jewellery Model Number 349440 Type Nathiya Style Circular Barbell Ideal For Women Color Orange Diamond Features Diamond Weight NA carat Diamond Shape NA Diamond Color Grade NA Dimensions Weight 7 g Height 0.5 mm Width 40 mm Body & Design Features Base Material Brass Gemstone Crystal Plating Yellow Gold Piercing Required No In the Box Sales Package 1 Nose Ring Pack of 1",Orange,U,E,4.84223301,9.684466019
121252,MR.,Lucas,Gray,10/20/1933,S,M,Lucas280@yahoo.com,91098,3,Graduate Degree,Management,Y,2/14/2015,1/16/2002,SO45434,311,121252,4,Southwest,United States,North America,1,7/30/2016,6/14/2003,SO51665,352,121252,4,1,1,6/20/2017,3/27/2004,SO73397,223,121252,2,19,Nose Rings & Studs,3,Jewellery,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya,Radhesh Creation,"Key Features of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Collection: Designer Ideal For: Women Style: Circular Barbell,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Rajasthani AD Stone Nath Decorated with Meena & Pearl Chain,Specifications of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Pearl Features Pearl Type NA Silver Features Silver Weight NA g General Brand Radhesh Creation Precious/Artificial Jewellery Fashion Jewellery Model Number 349440 Type Nathiya Style Circular Barbell Ideal For Women Color Orange Diamond Features Diamond Weight NA carat Diamond Shape NA Diamond Color Grade NA Dimensions Weight 7 g Height 0.5 mm Width 40 mm Body & Design Features Base Material Brass Gemstone Crystal Plating Yellow Gold Piercing Required No In the Box Sales Package 1 Nose Ring Pack of 1",Orange,U,E,4.84223301,9.684466019
121400,MR.,Lucas,Jones,11/25/1970,S,M,Lucas766@gmail.com,41471,0,Graduate Degree,Clerical,Y,1/15/2015,10/26/2001,SO45159,349,121400,10,United Kingdom,United Kingdom,Europe,1,07-03-2016,06-03-2003,SO51206,477,121400,10,3,3,1/20/2017,01-03-2004,SO62451,223,121400,2,19,Nose Rings & Studs,3,Jewellery,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya,Radhesh Creation,"Key Features of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Collection: Designer Ideal For: Women Style: Circular Barbell,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Rajasthani AD Stone Nath Decorated with Meena & Pearl Chain,Specifications of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Pearl Features Pearl Type NA Silver Features Silver Weight NA g General Brand Radhesh Creation Precious/Artificial Jewellery Fashion Jewellery Model Number 349440 Type Nathiya Style Circular Barbell Ideal For Women Color Orange Diamond Features Diamond Weight NA carat Diamond Shape NA Diamond Color Grade NA Dimensions Weight 7 g Height 0.5 mm Width 40 mm Body & Design Features Base Material Brass Gemstone Crystal Plating Yellow Gold Piercing Required No In the Box Sales Package 1 Nose Ring Pack of 1",Orange,U,E,4.84223301,9.684466019
121400,MR.,Lucas,Jones,11/25/1970,S,M,Lucas766@gmail.com,41471,0,Graduate Degree,Clerical,Y,1/15/2015,10/26/2001,SO45159,349,121400,10,United Kingdom,United Kingdom,Europe,1,07-03-2016,3/17/2003,SO51206,223,121400,10,4,2,1/20/2017,01-03-2004,SO62451,223,121400,2,19,Nose Rings & Studs,3,Jewellery,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya,Radhesh Creation,"Key Features of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Collection: Designer Ideal For: Women Style: Circular Barbell,Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Rajasthani AD Stone Nath Decorated with Meena & Pearl Chain,Specifications of Radhesh Creation Crystal Yellow Gold Plated Brass Nathiya Pearl Features Pearl Type NA Silver Features Silver Weight NA g General Brand Radhesh Creation Precious/Artificial Jewellery Fashion Jewellery Model Number 349440 Type Nathiya Style Circular Barbell Ideal For Women Color Orange Diamond Features Diamond Weight NA carat Diamond Shape NA Diamond Color Grade NA Dimensions Weight 7 g Height 0.5 mm Width 40 mm Body & Design Features Base Material Brass Gemstone Crystal Plating Yellow Gold Piercing Required No In the Box Sales Package 1 Nose Ring Pack of 1",Orange,U,E,4.84223301,9.684466019
